"Year","COG_Lat_fall","COG_depth_fall","bt_anomaly","sst_anomaly","Heatwave","GSI","calfin_100m3","pseudo_100m3","SSB"
1982,42.31199265,108.0808194,-0.777183111,-0.537660555,26.65956667,-0.550456666,-1.122852862,-1.025688709,9.13055038864268
1983,42.3640485,111.7760113,-0.273555397,-0.037041369,66.89165,-0.289546961,-1.020023974,-0.710448725,9.94325352263244
1984,42.5708703,121.7592129,-0.349697169,-0.02221964,59.89115,0.473202477,-1.557708185,-1.611969662,9.91201325934984
1985,42.66577246,130.6192327,0.191064904,0.040617054,19.37343333,0.68690537,-1.095608938,-1.435962496,8.90401132082852
1986,42.63115099,130.8705517,0.605521658,0.06625364,20.91895,0.204896945,-1.211998848,-1.357159949,7.1171001605917
1987,42.47816072,125.518411,-0.292570414,-0.491306583,8.0087,-0.673534821,-1.070193645,-1.524537852,2.90828632158853
1988,42.33617474,122.7259897,-0.128019538,-0.154859015,16.8457,-0.782526757,-1.030042525,-1.754692757,5.59822498582756
1989,42.29784605,121.0604654,-0.321264374,-0.163549052,12.18325,-0.677819796,-0.389411719,-0.412024902,7.00310967156765
1990,42.30343949,117.2269366,0.218037218,0.195105808,78.543925,0.175330572,-2.146873855,-2.068841662,11.4362700003957
1991,42.3308732,115.4304081,0.555944371,0.258242203,28.9196,0.919027983,-0.206510833,-0.551313995,4.91057973882861
1992,42.22992805,114.2923343,-0.471239898,-0.901689304,NA,0.236667299,-0.982603052,-0.787372369,1.90106504752302
1993,42.17676377,113.0945537,-0.629525623,-0.407379637,22.13885,0.617397004,-2.260520493,-2.02402047,1.12441321664315
1994,42.2012808,113.9850777,0.383744672,0.375216405,65.614325,0.968660173,-0.82753829,-0.817795728,2.26451744184335
1995,42.306038,123.0776005,0.543107077,-0.125349356,32.34076667,1.26869399,-0.984689334,-1.043770392,3.04647841246462
1996,42.38332964,127.8395576,-0.202691285,-0.868974313,NA,-0.128472784,-1.109043642,-1.155864532,3.49563104883542
1997,42.41854294,126.0841494,0.334570194,-0.426110301,NA,-0.282646662,-0.903174232,-0.698258784,2.90138729149357
1998,42.39724439,120.4167294,-0.505386645,-0.098143292,NA,-0.486858862,-1.148206883,-0.759433171,1.40673041499156
1999,42.41212912,118.7545583,0.494152093,0.830336133,138.990525,1.352830913,-0.767903264,-0.805425397,3.29347233767666
2000,42.41938469,108.7213296,0.801621058,0.530477126,51.48895,0.814438377,-0.978992062,-0.825555815,3.21199413980166
2001,42.46620669,102.3251035,0.259768465,0.188258721,35.527925,0.130445918,-0.866271802,-0.953076566,6.32766387922826
2002,42.47860035,97.75263141,0.7603435,0.670150403,100.928075,1.382192314,-0.757694128,-0.552585227,31.4195911737197
2003,42.49550297,94.63783564,-0.485099709,-0.438038599,12.552875,0.087524775,-1.102629645,-1.682607561,11.1784590484016
2004,42.40836128,96.08955558,-1.226638611,-0.779998983,NA,-0.227753778,-0.614646435,-1.064733556,9.25912469456282
2005,42.48051088,101.5773232,-0.59461406,-0.29808355,47.759025,-0.114707762,-0.555516592,-1.031054127,4.31485273929908
2006,42.49663051,103.529188,0.618400203,0.468406407,112.635075,0.197983475,-0.804289406,-1.296714388,4.67270708224369
2007,42.40500321,96.16722772,-0.489872744,-0.528132385,25.4808,-0.828268356,-0.88991354,-1.450068997,3.40716131287856
2008,42.29547366,92.35661806,-0.119323467,0.447609966,33.892025,0.369906471,-0.819846069,-1.48892334,3.60467877177472
2009,42.20171653,88.33945907,-0.008433023,0.31632063,90.137425,0.596212654,-0.933653427,-1.137858492,2.51120662926737
2010,42.17625402,91.77266172,0.572097841,1.291336263,179.059075,0.393471075,-0.718260403,-1.349487818,2.23251380271412
2011,42.22000769,97.47418205,0.536741813,0.600205173,266.034625,-0.209050935,-0.801654608,-1.028683144,3.89844843759734
2012,42.23568326,105.5694223,1.848544778,2.2370319,640.8458,0.985724339,-1.004799575,-0.957582996,1.03883434397222
2013,42.31758464,112.756341,0.875146761,1.114570042,206.6568,0.487977618,-0.880989705,-1.631362271,1.17569507732748
2014,NA,NA,0.789167755,1.023663891,312.271975,1.162542571,-1.81624464,-2.136541869,1.61543359310476
2015,42.35291459,114.6141086,0.999015955,0.903085572,439.537225,0.946608923,-1.286589529,-1.307388575,2.32193242458184
2016,42.34660772,115.2927916,1.442667043,1.503628048,378.46705,1.76471746,-0.98654209,-0.78909019,4.32411843584836
2017,42.34576749,109.6456487,0.716289016,0.423703112,208.452525,1.274032552,-0.962608979,-0.809766722,3.81752636069891
2018,42.26462574,95.62005772,0.888840968,1.306377712,308.5231,1.174443691,-0.942396969,-1.086683427,2.82144578843098
2019,42.22620097,101.7505167,0.805941771,0.708300302,148.1422,1.874898431,-0.740171948,-0.714956387,2.09349206303016
2020,NA,NA,1.784280753,1.141061591,381.736725,1.167697526,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA,NA,0.46730883514842
